Matches,SubMatches,GradientMatches,Keypoint,SubKeypoint,GradientKeypoint,Class
16,5,0.3125,179,118,0.6592,0
9,0,0.0,332,192,0.5783,0
486,248,0.5103,729,19,0.0261,0
495,2,0.004,723,17,0.0235,0
361,86,0.2382,614,57,0.0928,0
388,31,0.0799,583,14,0.024,0
25,67,2.68,68,195,2.8676,1
625,6,0.0096,846,11,0.013,0
611,14,0.0229,801,45,0.0562,0
641,3,0.0047,803,27,0.0336,0
4,639,159.75,1311,491,0.3745,1
574,37,0.0645,712,27,0.0379,0
580,51,0.0879,724,20,0.0276,0
567,10,0.0176,725,1,0.0014,0
571,1,0.0018,723,22,0.0304,0
15,549,36.6,584,147,0.2517,1
397,5,0.0126,576,28,0.0486,0
37,350,9.4595,58,475,8.1897,1
808,4,0.005,1096,20,0.0182,0
41,816,19.9024,902,284,0.3149,1
524,0,0.0,728,6,0.0082,0
508,16,0.0315,756,28,0.037,0
553,1,0.0018,806,28,0.0347,0
544,30,0.0551,813,19,0.0234,0
629,41,0.0652,810,31,0.0383,0
543,30,0.0552,776,26,0.0335,0
554,11,0.0199,780,4,0.0051,0
19,580,30.5263,987,187,0.1895,1
2018,11,0.0055,2736,23,0.0084,0
2014,84,0.0417,2708,12,0.0044,0
1966,67,0.0341,2760,113,0.0409,0
1401,555,0.3961,2498,210,0.0841,0
2083,44,0.0211,2720,56,0.0206,0
2133,161,0.0755,2758,83,0.0301,0
29,2329,80.3103,1477,1293,0.8754,1
7,69,9.8571,135,156,1.1556,1
445,72,0.1618,714,1,0.0014,0
424,20,0.0472,649,20,0.0308,0
9,416,46.2222,643,50,0.0778,1
478,6,0.0126,643,34,0.0529,0
497,19,0.0382,607,36,0.0593,0
497,28,0.0563,640,38,0.0594,0
507,1,0.002,683,36,0.0527,0
526,19,0.0361,662,13,0.0196,0
506,20,0.0395,644,18,0.028,0
36,572,15.8889,480,228,0.475,1
164,156,0.9512,250,9,0.036,0
135,14,0.1037,237,18,0.0759,0
127,8,0.063,219,18,0.0822,0
91,41,0.4505,185,11,0.0595,0
114,23,0.2018,179,6,0.0335,0
93,19,0.2043,168,20,0.119,0
17,48,2.8235,59,82,1.3898,1
194,22,0.1134,253,19,0.0751,0
184,34,0.1848,297,22,0.0741,0
170,9,0.0529,283,17,0.0601,0
190,20,0.1053,290,7,0.0241,0
11,227,20.6364,286,68,0.2378,1
4,3,0.75,9,6,0.6667,0
653,3,0.0046,878,7,0.008,0
696,45,0.0647,985,39,0.0396,0
14,410,29.2857,672,44,0.0655,1
499,8,0.016,632,6,0.0095,0
500,6,0.012,713,23,0.0323,0
541,41,0.0758,699,14,0.02,0
536,8,0.0149,684,22,0.0322,0
21,636,30.2857,488,281,0.5758,1
15,386,25.7333,1247,495,0.397,1
11,1,0.0909,21,9,0.4286,0
33,2,0.0606,36,2,0.0556,0
37,0,0.0,37,0,0.0,0
2,35,17.5,13,24,1.8462,1
498,12,0.0241,761,12,0.0158,0
413,3,0.0073,624,22,0.0353,0
462,6,0.013,644,4,0.0062,0
36,456,12.6667,480,191,0.3979,1
319,24,0.0752,610,21,0.0344,0
334,15,0.0449,630,20,0.0317,0
360,6,0.0167,699,51,0.073,0
482,21,0.0436,836,21,0.0251,0
494,20,0.0405,778,18,0.0231,0
134,265,1.9776,287,416,1.4495,1
1,6,6.0,83,61,0.7349,1
9,23,2.5556,16,41,2.5625,1
735,1,0.0014,1102,88,0.0799,0
